n;parametro estimado;erro padrao;ic_inf;ic_sup
1000;29.01635289498803;0.10682614548452113;28.79929623045236;29.188604648667265
2000;29.106732143281558;0.06712753368338434;28.949428762733174;29.230000768711104
4000;29.191205189543034;0.05054842825139063;29.092126804807574;29.28843452100382
6000;29.178750169227968;0.03978826418926112;29.097765390096267;29.268881453895588
8000;29.192371449527283;0.038924670271425856;29.124209675500325;29.27969123115941
10000;29.174326990034967;0.033395350421090916;29.102446912445306;29.239068034988065
12000;29.198199659493923;0.029820176593735613;29.1408511640025;29.266176798197613
14000;29.204665887284644;0.029633404478537014;29.145823739011984;29.27195924868328
16000;29.205631892305497;0.02751926207666798;29.148643393797737;29.26572849956925
18000;29.20811597932652;0.025513348296924438;29.155749149897513;29.264608853312772
20000;29.204763625133943;0.024656078785185342;29.154423562594804;29.25660361137605
22000;29.201514204961672;0.02455292181428677;29.149918743864678;29.253066107460352
24000;29.205465971648888;0.02392506067702136;29.159801801016695;29.255526366223858
26000;29.210427924243284;0.02237861392442528;29.16590222635444;29.25663041029676
28000;29.215945254583954;0.022460065473309074;29.17218943971937;29.26249170458891
30000;29.213077725429518;0.021083364525946547;29.17272951070328;29.256504756969708
32000;29.21302262045352;0.02044451946710308;29.172099338677807;29.254739121692282
34000;29.20947149225232;0.019604283528368984;29.169689220814586;29.250432223643237
36000;29.213281042648283;0.01935391623819277;29.175106738903605;29.25312407947125
38000;29.218383553959843;0.01922605633706833;29.181563630711093;29.256470605518174
40000;29.219907880414592;0.01938787496810927;29.182210019227263;29.25741278947877
42000;29.218247523675828;0.01918790340486741;29.18188041316178;29.25681211736586
44000;29.21577585367813;0.018607504982738277;29.180336906147147;29.25458078798883
46000;29.216506085796997;0.018116490582566168;29.182209643241922;29.253066107460352
48000;29.21510504275801;0.01776500095050365;29.18040445957591;29.25089528717465
50000;29.21382236205423;0.017125213707634618;29.179906916009358;29.24702495444195
52000;29.216203249341216;0.016797208297915152;29.18365412812697;29.249568868373327
54000;29.221320099835445;0.015807237921860468;29.19082432206693;29.252974768811175
56000;29.223681988084458;0.016067491533126532;29.19236387245573;29.255345416063232
58000;29.227201105302854;0.015440069630173506;29.197332579268604;29.25646988817734
60000;29.227703229379607;0.014785334007261763;29.19794471089346;29.256480927209967
62000;29.228883363784288;0.014521339851268522;29.19977594204571;29.256375215770927
64000;29.23061147807784;0.014283801327519469;29.202759838274087;29.257077088380395
66000;29.23632430401318;0.013773565476218184;29.208556114694932;29.26359317799823
68000;29.235925793847443;0.013414283086380391;29.209191746243505;29.262941234045616
70000;29.235369725374564;0.013280596384425898;29.208830846806126;29.26132078109545
