n;parametro estimado;erro padrao;ic_inf;ic_sup
1000;92.33524964831024;1.0750326683309424;90.51052122355959;94.46106305308821
2000;92.15994097122395;0.8473746357403856;90.46928929144408;93.99919145390284
4000;92.03232273444424;0.522085236455367;91.01764926198997;93.05709630865272
6000;91.76953218003088;0.4239842676275864;90.96291983734066;92.64897879182988
8000;91.8120939918476;0.35099236488048113;91.15274624879021;92.56247464812533
10000;91.76401726842568;0.30507944571576945;91.15072321099149;92.39816153296951
12000;91.87755064138673;0.2835909983699923;91.32783864580311;92.45071214377978
14000;91.82360791700226;0.2517370826879683;91.33129411280866;92.33256397121177
16000;91.72505074311208;0.24052100421091221;91.22528499534036;92.16873265713069
18000;91.6822463227549;0.21750899120133;91.2375579255618;92.07859518037392
20000;91.79103175425718;0.2111484851263309;91.3709478250827;92.16646292599557
22000;91.72469277230836;0.20184015252809723;91.30911998446469;92.09174445831046
24000;91.79787363218834;0.18958249225484744;91.42787652485973;92.15486242974985
26000;91.71137526403228;0.1854001674378439;91.34167868489456;92.0497901344511
28000;91.72488423594655;0.17397854286154135;91.3822552432692;92.03620181852052
30000;91.7288629562739;0.16882912253374785;91.38809750739763;92.0295438136858
32000;91.64763870694617;0.16174669984413986;91.32304653930805;91.982333206494
34000;91.58138656908861;0.1603449378765958;91.25209666305216;91.90172358463013
36000;91.60923138467206;0.15203086662868756;91.30655509655277;91.90786402837803
38000;91.68521420890552;0.14624468874015925;91.40480310081288;91.98276855567393
40000;91.6924161827094;0.1441799914323834;91.41074011877325;91.9809388403982
42000;91.72950448286936;0.13823506012713146;91.46857402883602;91.99435065343964
44000;91.77553559805578;0.13782462692827002;91.51550911352275;92.02584156100245
46000;91.76547284134189;0.13276252212171302;91.5182462241017;92.01889486472963
48000;91.76663379324076;0.1311593537246103;91.5224045660969;92.00915655671356
50000;91.77492640011448;0.13035730674114224;91.53124910090636;92.0146039434459
52000;91.76385123388918;0.12913151894619224;91.52437842270236;92.01111057511208
54000;91.72400962128106;0.12367285064321594;91.49362505980211;91.9678943922475
56000;91.71629587199786;0.12284613670960572;91.48993895057224;91.95205288070923
58000;91.71254043200953;0.11901782722033313;91.49584196668056;91.94157360536313
60000;91.71125414107644;0.11806000798835128;91.49386282484221;91.94073943841914
62000;91.72763584851273;0.11734305416826933;91.5182462241017;91.9737265898394
64000;91.72673174510213;0.11592630616656423;91.51764372529523;91.9517496218736
66000;91.71660773134336;0.1116146039379258;91.5152793726938;91.93740269951437
68000;91.71699640069008;0.10926387898115733;91.5189684331123;91.93628152460151
70000;91.74339216813841;0.10895542263574079;91.54065856570084;91.96779183788487
72000;91.71539311738866;0.10846325591656088;91.51518432191581;91.9299765607887
74000;91.72487406367387;0.10828116002857556;91.52423809574763;91.9407182970748
76000;91.72615197317027;0.10663886496479233;91.52336363120962;91.93264419965448
78000;91.70189797750865;0.10583704064432543;91.49907401990664;91.91439242140699
80000;91.69270853417395;0.10426563857275216;91.4927162318272;91.90167813241905
82000;91.70318948674694;0.1041973597503085;91.50723952816638;91.91038732399556
84000;91.70704041147698;0.1033682325507413;91.51598191172727;91.91039131301241
86000;91.73089840122992;0.10229623488426359;91.53483034761285;91.93106151825731
88000;91.74231723120336;0.10127992279999942;91.54642936870526;91.94033211653148
90000;91.74091610362476;0.09996651308898175;91.54651861268661;91.9343043980758
92000;91.72716853949723;0.09652869154327681;91.53581985365037;91.91847286257507
94000;91.72591028530017;0.09788703435152564;91.53784132124073;91.9223987427568
96000;91.7179375252167;0.09503879812502783;91.52885041667443;91.90554168440931
98000;91.716885666356;0.09526334734957621;91.52866403407722;91.90580303803932
100000;91.71827728374268;0.09402880559403003;91.52516173456875;91.90493027559323
102000;91.71453460668933;0.09244806656592916;91.52892349959205;91.89768331879415
104000;91.71356878488996;0.09211895945741072;91.52501556770747;91.88898257859941
106000;91.7064105125549;0.0896783542817295;91.52501554927194;91.88250354201298
108000;91.70002766696751;0.09111462991363005;91.51896843311232;91.8789674985712
110000;91.69059516928617;0.09236112854866116;91.50006705955393;91.86678422539468
112000;91.67603295607823;0.08978263908061482;91.49360829353282;91.85323046371576
114000;91.68777874135766;0.08838819090917686;91.51144293856886;91.8583672618178
116000;91.69707732849203;0.08969578976987751;91.51682118159167;91.8707442244265
118000;91.70030592549648;0.0875584777026443;91.52222768845841;91.86523456030906
120000;91.7025425011426;0.08810272591371932;91.52501125269562;91.87345144937683
122000;91.68735678127206;0.087671878966476;91.51547583386926;91.85577165431435
124000;91.6880793127557;0.0875071291813991;91.51529947102377;91.85528564106714
126000;91.67654084374506;0.08693681649194777;91.4997219297067;91.84346692354417
128000;91.6918222214583;0.08532807736520923;91.51823300171903;91.85587519510202
256000;91.79108184704566;0.061043665031980686;91.66979178903232;91.91216256363178
512000;91.84149575903855;0.045392058717416854;91.75327424714666;91.93348238956861
1000000;91.84860166658613;0.03324372946394412;91.78424089547131;91.91734812983721
