n;parametro estimado;erro padrao;ic_inf;ic_sup
1000;99.61941537923126;0.22750260846927375;99.13527552201491;99.77672347897672
2000;99.74410307524859;0.11895506733651813;99.24592232572486;99.9240149260726
4000;99.79511877264697;0.06712379962207318;99.69621622268227;99.9240149260726
6000;99.76922902605746;0.06978229947089684;99.58887012145082;99.9240149260726
8000;99.83522426029486;0.0514434818559443;99.73145092939659;99.90548652390642
10000;99.86065699716085;0.0450647630340925;99.79065915884136;99.93466235365676
12000;99.87520787400354;0.04274706685023783;99.79357027900502;99.94636962745416
14000;99.85271940101222;0.04165111329361117;99.7906542597548;99.9240255735002
16000;99.85320463269018;0.042855673916955675;99.79065136627868;99.92418621481119
18000;99.85118753598603;0.03832152740706378;99.79354584533004;99.91478803137088
20000;99.83526089893722;0.035147799220035233;99.77936714594641;99.90614766019048
22000;99.85972167396355;0.03933095345537358;99.79455474322312;99.91477879524004
24000;99.85168670933989;0.035541388476141925;99.7945477820356;99.90614889714662
26000;99.85113578577662;0.03655093910125137;99.79354584533006;99.90738461632893
28000;99.85852434015058;0.035866632687584186;99.79844699400167;99.90739201050786
30000;99.85760177996075;0.032940968796758514;99.80150896953612;99.90615629132557
32000;99.84821513519528;0.03031692869962902;99.79844819792662;99.90546797695728
34000;99.85377947638855;0.02747677008055617;99.80350489602698;99.90522352093899
36000;99.85422741294715;0.02772493211132106;99.80350489602698;99.90516910341607
38000;99.85394300494507;0.0280176159632044;99.80350489602698;99.90516880424336
40000;99.85769674138105;0.027169227082163672;99.805329450901;99.90516885871536
42000;99.85022367951453;0.025530040565986706;99.80350489602698;99.9046366799926
44000;99.850732078832;0.025470500298321905;99.80532553400982;99.90515252150938
46000;99.85003811688722;0.02475748482210553;99.80350671666497;99.904622607918
48000;99.85716639889068;0.025099054963754076;99.8092499785766;99.90462313783159
50000;99.85368778283056;0.02498086547054302;99.8053380845879;99.89612895724761
52000;99.86000797626671;0.024617403647176263;99.81679690864269;99.90462320858633
54000;99.86173242710295;0.023224674457403158;99.81787940855347;99.90462313783159
56000;99.8627325824784;0.021566970230852352;99.81898364813514;99.8961201372178
58000;99.86319860863811;0.022207070974552073;99.8189814569605;99.90462313783159
60000;99.86506278322966;0.021703215783319126;99.81898531477894;99.904622607918
62000;99.86156146525202;0.02169817877346797;99.81787721737882;99.89382199630414
64000;99.85615182326929;0.02235415869552085;99.81025935171073;99.89187678982138
66000;99.8533500272013;0.02267935573964025;99.80925598035756;99.89187484497027
68000;99.85469454448092;0.02182645691378788;99.80928782617033;99.89187484497027
70000;99.8599724171087;0.02150408373168977;99.81787721737882;99.89382192228429
72000;99.86206856312576;0.020698277300415468;99.8189898849965;99.89382192413478
74000;99.85962467389098;0.02113843921977301;99.81898364813514;99.89327716503645
76000;99.85532974652001;0.02131766462640003;99.816795828359;99.88756090085137
78000;99.85197930051234;0.021499628769562185;99.80928020940998;99.88579076597722
80000;99.84946606313682;0.021517838899244766;99.8092424619775;99.88486098066825
82000;99.84714665032621;0.02202204517371988;99.80532553400982;99.88486004995222
84000;99.84439562476979;0.02183456169827159;99.80350663215528;99.88067068421711
86000;99.84845547296614;0.020252354307559443;99.81025935171073;99.8810323237582
88000;99.84967834038937;0.01981493878123904;99.8102658881874;99.8810323237582
90000;99.85379389028672;0.019193853802865663;99.81787611203389;99.88116164770705
92000;99.85333691535939;0.019385783676996907;99.81787611203389;99.88116403596543
94000;99.85457772391462;0.018906041111331793;99.81787721737882;99.88116164770705
96000;99.8549795899886;0.018662640701888222;99.81787721737882;99.88115794560268
98000;99.85474646326008;0.018611982569684975;99.81787839623733;99.88103244938004
100000;99.85289450322453;0.0177568294039166;99.81787721737882;99.87828818396179
102000;99.8528307667937;0.017612446333644206;99.8189814569605;99.87828818396181
104000;99.85924060102154;0.016288544176205753;99.82437643143682;99.88103615148447
106000;99.86089618103236;0.01602798508711526;99.82442003605752;99.8811616477071
108000;99.8577357773541;0.0167122797675572;99.82284053368849;99.88103043994015
110000;99.86084552771489;0.016264797345452428;99.82437643143682;99.8811616477071
112000;99.86032672940064;0.016084054113530945;99.82437643143682;99.88115794560268
114000;99.86050028358814;0.016079637493940868;99.82437647504143;99.88115794560268
116000;99.8616157885384;0.015795932166651462;99.82442003605752;99.88103244938006
118000;99.86337686882636;0.014979863865436262;99.8275266779886;99.88486004995222
120000;99.86612270865551;0.014022480079494491;99.82930440481779;99.88724830833016
122000;99.86405310674638;0.014187531410627044;99.82930440481779;99.88579076597722
124000;99.86444601540911;0.012959785707142726;99.83258748688097;99.8811616477071
126000;99.8639998700407;0.012941920362435447;99.83152881837643;99.88115794560268
128000;99.86590053015355;0.012640818639749644;99.83260645125237;99.88486247517574
256000;99.86985356805434;0.007314072998612219;99.85369187954352;99.88288803536228
512000;99.87215014806958;0.005115656602124176;99.86088674222383;99.8814365136934
1000000;99.87170901027018;0.004177093743192777;99.86325082902631;99.87907636616411
