n;parametro estimado;erro padrao;ic_inf;ic_sup
130000;97.1934329402419;0.020232042565843683;97.15416093854662;97.23259613501797
132000;97.19284146776879;0.02031636931640219;97.15319824297775;97.23257060736958
134000;97.1928468330894;0.02001057134126761;97.15311880286619;97.23336022182187
136000;97.1890917966875;0.019754670135425766;97.15013625077214;97.22780247364574
138000;97.19338398159877;0.019980189097665368;97.15383698235573;97.2331693438206
140000;97.19353544673892;0.020093768836506536;97.1542542539223;97.23408948179038
142000;97.1928270764389;0.020163009511022296;97.15319656176072;97.2325234955142
144000;97.18665998489608;0.019955866586244906;97.1468826198656;97.22629727973994
146000;97.19062947084413;0.01983342822404878;97.15220589036508;97.23045249381185
148000;97.18952057877057;0.019597522717024928;97.15200883708647;97.22822041586804
150000;97.19113208317613;0.01947610385340517;97.15296069782805;97.23045249381185
152000;97.19177981250664;0.019124898323870626;97.15514056397757;97.22950637007465
154000;97.19087507197894;0.018938821610936036;97.15383698235573;97.22784422457951
156000;97.18867248129649;0.019314331975737294;97.15137763954259;97.2273033932122
158000;97.18475204925214;0.018836982421250596;97.14809181631935;97.22263370586288
160000;97.18789679587137;0.01838223135769264;97.15228029178219;97.22508096272536
162000;97.18514893818043;0.018489884408126402;97.14992506706426;97.22162213524912
164000;97.18557817518735;0.018671851965036894;97.14989491304438;97.22347063207262
166000;97.18653395476588;0.01869218682875389;97.15034215467738;97.22506846188396
168000;97.18742042311312;0.01811696094014504;97.15220377026998;97.22515528152644
170000;97.187109398634;0.01804024743011276;97.15266751915985;97.22377852172242
172000;97.18647863957635;0.01782989252027037;97.15217831710716;97.2231233855188
174000;97.18484332708847;0.017686920933387452;97.15128135378896;97.22124751939202
176000;97.18297136609908;0.017957317763574794;97.14796532480429;97.21936372164114
178000;97.182199362131;0.017610625816541086;97.14798469070259;97.2187007534807
180000;97.18238722789813;0.017374484819389358;97.14864742755972;97.21848618695779
182000;97.18285034783179;0.017181259133078986;97.14990705633925;97.21668581243821
184000;97.17947004305451;0.017417921749309822;97.14585413465939;97.21523542658052
186000;97.17998634287167;0.017220645796452442;97.14660557202242;97.21536132958182
188000;97.18108127198899;0.017096657621278554;97.14797252465505;97.2155818137266
190000;97.17879095943312;0.01718944308079906;97.14533283141868;97.21372158533268
192000;97.17937303962213;0.01716980105501749;97.14622102153587;97.21486262295865
194000;97.17915670997242;0.01729253583559568;97.14607021575296;97.21413418137472
196000;97.18019180419729;0.016938267778000133;97.14713274622706;97.21523542658052
198000;97.17874012700682;0.016945836305472785;97.14646533330281;97.2127546974844
200000;97.17870175829678;0.01705367516746721;97.14549979110784;97.21304864822996
202000;97.17812459559423;0.01651890204258124;97.14608776659406;97.211657732769
204000;97.17790688782235;0.016572527927301482;97.14546090558827;97.211657732769
206000;97.17758472376276;0.016321434623975395;97.14598646793497;97.21031707220635
208000;97.17685879589179;0.016408740659997954;97.14550006305937;97.20997044144434
210000;97.17634603477397;0.016410244942199358;97.14465524866498;97.21056067183368
212000;97.1757827241724;0.016190138532109155;97.14465543799038;97.20808111106545
214000;97.17490784587429;0.0162145137724943;97.14311962393242;97.20703050947384
216000;97.17329266461367;0.016268698586323856;97.1413804575113;97.20592869720006
218000;97.17190343633436;0.01591108895828375;97.14010572641233;97.20323626757593
220000;97.17248338901405;0.015961242343376245;97.14094323051972;97.2047800470257
222000;97.17321712007094;0.01584019058123546;97.14227606836695;97.20446040896198
224000;97.17144361898698;0.016127331742449198;97.13993161389777;97.20343771796628
226000;97.17176348990296;0.015709356255836547;97.14123075742472;97.2028232551938
228000;97.17069396503058;0.01591679578260823;97.13979119409176;97.2024498633594
230000;97.17186389266914;0.01572784613168451;97.14018865717071;97.20277525034197
232000;97.17215067263072;0.015747580040219762;97.14137008393747;97.20333670825241
234000;97.17150064658608;0.015861487004782755;97.1401024638715;97.20274761631696
236000;97.16908989173858;0.01577050173563184;97.13897485752483;97.19984134984871
238000;97.16936540259161;0.015437434814360615;97.139592924469;97.19870701669028
240000;97.1704509025926;0.015342785706384792;97.14017167224087;97.2014220578032
242000;97.17014242814193;0.01534341863392138;97.14004889249512;97.1999962953914
244000;97.17020683454743;0.015273148764363935;97.13985072419322;97.20137437405691
246000;97.16923510975583;0.015451032810767151;97.13827292536064;97.19898484741243
248000;97.16837141054471;0.015431143359002133;97.1381089505926;97.19752743377774
250000;97.16900648981847;0.01522689587912908;97.13957222866284;97.19842927840918
252000;97.1683637328187;0.015311795594099021;97.13807306101297;97.19755062659125
254000;97.16706281260245;0.015052038170484856;97.1372043128337;97.1964772972143
